經度,緯度,label
120.21000000000001,25.089999999999986,0
120.24000000000001,25.089999999999986,0
120.27000000000001,25.089999999999986,0
120.30000000000001,25.089999999999986,0
120.33000000000001,25.089999999999986,0
120.36000000000001,25.089999999999986,0
120.39000000000001,25.089999999999986,0
120.42000000000002,25.089999999999986,0
120.45000000000002,25.089999999999986,0
120.48000000000002,25.089999999999986,0
120.51000000000002,25.089999999999986,0
120.54000000000002,25.089999999999986,0
120.57000000000002,25.089999999999986,0
120.60000000000002,25.089999999999986,0
120.63000000000002,25.089999999999986,0
120.66000000000003,25.089999999999986,0
120.69000000000003,25.089999999999986,1
120.72000000000003,25.089999999999986,1
120.75000000000003,25.089999999999986,1
120.78000000000003,25.089999999999986,1
120.81000000000003,25.089999999999986,1
120.84000000000003,25.089999999999986,1
120.87000000000003,25.089999999999986,1
120.90000000000003,25.089999999999986,0
120.93000000000004,25.089999999999986,0
120.96000000000004,25.089999999999986,0
120.99000000000004,25.089999999999986,0
121.02000000000004,25.089999999999986,0
121.05000000000004,25.089999999999986,0
121.08000000000004,25.089999999999986,0
121.11000000000004,25.089999999999986,0
121.14000000000004,25.089999999999986,0
121.17000000000004,25.089999999999986,0
121.20000000000005,25.089999999999986,0
121.23000000000005,25.089999999999986,0
121.26000000000005,25.089999999999986,0
121.29000000000005,25.089999999999986,0
121.32000000000005,25.089999999999986,0
121.35000000000005,25.089999999999986,0
121.38000000000005,25.089999999999986,0
121.41000000000005,25.089999999999986,0
121.44000000000005,25.089999999999986,0
121.47000000000006,25.089999999999986,0
121.50000000000006,25.089999999999986,0
121.53000000000006,25.089999999999986,0
121.56000000000006,25.089999999999986,0
121.59000000000006,25.089999999999986,0
121.62000000000006,25.089999999999986,0
121.65000000000006,25.089999999999986,0
121.68000000000006,25.089999999999986,0
121.71000000000006,25.089999999999986,0
121.74000000000007,25.089999999999986,0
121.77000000000007,25.089999999999986,0
121.80000000000007,25.089999999999986,0
121.83000000000007,25.089999999999986,0
121.86000000000007,25.089999999999986,0
121.89000000000007,25.089999999999986,0
121.92000000000007,25.089999999999986,0
121.95000000000007,25.089999999999986,0
121.98000000000008,25.089999999999986,0
120.0,25.059999999999985,0
120.03,25.059999999999985,0
120.06,25.059999999999985,0
120.09,25.059999999999985,0
120.12,25.059999999999985,0
120.15,25.059999999999985,0
120.18,25.059999999999985,0
120.21000000000001,25.059999999999985,0
120.24000000000001,25.059999999999985,0
120.27000000000001,25.059999999999985,0
120.30000000000001,25.059999999999985,0
120.33000000000001,25.059999999999985,0
120.36000000000001,25.059999999999985,0
120.39000000000001,25.059999999999985,0
120.42000000000002,25.059999999999985,0
120.45000000000002,25.059999999999985,0
120.48000000000002,25.059999999999985,0
120.51000000000002,25.059999999999985,0
120.54000000000002,25.059999999999985,0
120.57000000000002,25.059999999999985,0
120.60000000000002,25.059999999999985,0
120.63000000000002,25.059999999999985,0
120.66000000000003,25.059999999999985,1
120.69000000000003,25.059999999999985,1
120.72000000000003,25.059999999999985,1
120.75000000000003,25.059999999999985,1
120.78000000000003,25.059999999999985,1
120.81000000000003,25.059999999999985,1
120.84000000000003,25.059999999999985,1
120.87000000000003,25.059999999999985,1
120.90000000000003,25.059999999999985,0
120.93000000000004,25.059999999999985,0
120.96000000000004,25.059999999999985,0
120.99000000000004,25.059999999999985,0
121.02000000000004,25.059999999999985,0
121.05000000000004,25.059999999999985,0
121.08000000000004,25.059999999999985,0
121.11000000000004,25.059999999999985,0
121.14000000000004,25.059999999999985,0
121.17000000000004,25.059999999999985,0
121.20000000000005,25.059999999999985,0
121.23000000000005,25.059999999999985,0
121.26000000000005,25.059999999999985,0
121.29000000000005,25.059999999999985,0
121.32000000000005,25.059999999999985,0
121.35000000000005,25.059999999999985,0
121.38000000000005,25.059999999999985,0
121.41000000000005,25.059999999999985,0
121.44000000000005,25.059999999999985,0
121.47000000000006,25.059999999999985,0
121.50000000000006,25.059999999999985,0
121.53000000000006,25.059999999999985,0
121.56000000000006,25.059999999999985,0
121.59000000000006,25.059999999999985,0
121.62000000000006,25.059999999999985,0
121.65000000000006,25.059999999999985,0
121.68000000000006,25.059999999999985,0
121.71000000000006,25.059999999999985,0
121.74000000000007,25.059999999999985,0
121.77000000000007,25.059999999999985,0
121.80000000000007,25.059999999999985,0
121.83000000000007,25.059999999999985,0
121.86000000000007,25.059999999999985,0
121.89000000000007,25.059999999999985,0
121.92000000000007,25.059999999999985,0
121.95000000000007,25.059999999999985,0
121.98000000000008,25.059999999999985,0
120.0,25.029999999999983,0
120.03,25.029999999999983,0
120.06,25.029999999999983,0
120.09,25.029999999999983,0
120.12,25.029999999999983,0
120.15,25.029999999999983,0
120.18,25.029999999999983,0
120.21000000000001,25.029999999999983,0
120.24000000000001,25.029999999999983,0
120.27000000000001,25.029999999999983,0
120.30000000000001,25.029999999999983,0
120.33000000000001,25.029999999999983,0
120.36000000000001,25.029999999999983,0
120.39000000000001,25.029999999999983,0
120.42000000000002,25.029999999999983,0
120.45000000000002,25.029999999999983,0
120.48000000000002,25.029999999999983,0
120.51000000000002,25.029999999999983,0
120.54000000000002,25.029999999999983,0
120.57000000000002,25.029999999999983,0
120.60000000000002,25.029999999999983,0
120.63000000000002,25.029999999999983,0
120.66000000000003,25.029999999999983,1
120.69000000000003,25.029999999999983,1
120.72000000000003,25.029999999999983,1
120.75000000000003,25.029999999999983,1
120.78000000000003,25.029999999999983,1
120.81000000000003,25.029999999999983,1
120.84000000000003,25.029999999999983,1
120.87000000000003,25.029999999999983,1
120.90000000000003,25.029999999999983,0
120.93000000000004,25.029999999999983,0
120.96000000000004,25.029999999999983,0
120.99000000000004,25.029999999999983,0
121.02000000000004,25.029999999999983,0
121.05000000000004,25.029999999999983,0
121.08000000000004,25.029999999999983,0
121.11000000000004,25.029999999999983,0
121.14000000000004,25.029999999999983,0
121.17000000000004,25.029999999999983,0
121.20000000000005,25.029999999999983,0
121.23000000000005,25.029999999999983,0
121.26000000000005,25.029999999999983,0
121.29000000000005,25.029999999999983,0
121.32000000000005,25.029999999999983,0
121.35000000000005,25.029999999999983,0
121.38000000000005,25.029999999999983,0
121.41000000000005,25.029999999999983,0
121.44000000000005,25.029999999999983,0
121.47000000000006,25.029999999999983,0
121.50000000000006,25.029999999999983,0
121.53000000000006,25.029999999999983,0
121.56000000000006,25.029999999999983,0
121.59000000000006,25.029999999999983,0
121.62000000000006,25.029999999999983,0
121.65000000000006,25.029999999999983,0
121.68000000000006,25.029999999999983,0
121.71000000000006,25.029999999999983,0
121.74000000000007,25.029999999999983,0
121.77000000000007,25.029999999999983,0
121.80000000000007,25.029999999999983,0
121.83000000000007,25.029999999999983,0
121.86000000000007,25.029999999999983,0
121.89000000000007,25.029999999999983,0
121.92000000000007,25.029999999999983,0
121.95000000000007,25.029999999999983,0
121.98000000000008,25.029999999999983,0
120.0,24.999999999999982,0
120.03,24.999999999999982,0
120.06,24.999999999999982,0
120.09,24.999999999999982,0
120.12,24.999999999999982,0
120.15,24.999999999999982,0
120.18,24.999999999999982,0
120.21000000000001,24.999999999999982,0
120.24000000000001,24.999999999999982,0
120.27000000000001,24.999999999999982,0
120.30000000000001,24.999999999999982,0
120.33000000000001,24.999999999999982,0
120.36000000000001,24.999999999999982,1
120.39000000000001,24.999999999999982,0
120.42000000000002,24.999999999999982,0
120.45000000000002,24.999999999999982,0
120.48000000000002,24.999999999999982,0
120.51000000000002,24.999999999999982,0
120.54000000000002,24.999999999999982,0
120.57000000000002,24.999999999999982,0
120.60000000000002,24.999999999999982,0
120.63000000000002,24.999999999999982,1
120.66000000000003,24.999999999999982,1
120.69000000000003,24.999999999999982,1
120.72000000000003,24.999999999999982,1
120.75000000000003,24.999999999999982,1
120.78000000000003,24.999999999999982,1
120.81000000000003,24.999999999999982,1
120.84000000000003,24.999999999999982,1
120.87000000000003,24.999999999999982,1
120.90000000000003,24.999999999999982,0
120.93000000000004,24.999999999999982,0
120.96000000000004,24.999999999999982,0
120.99000000000004,24.999999999999982,0
121.02000000000004,24.999999999999982,0
121.05000000000004,24.999999999999982,0
121.08000000000004,24.999999999999982,0
121.11000000000004,24.999999999999982,0
121.14000000000004,24.999999999999982,0
121.17000000000004,24.999999999999982,0
121.20000000000005,24.999999999999982,0
121.23000000000005,24.999999999999982,0
121.26000000000005,24.999999999999982,0
121.29000000000005,24.999999999999982,0
121.32000000000005,24.999999999999982,0
121.35000000000005,24.999999999999982,0
121.38000000000005,24.999999999999982,0
121.41000000000005,24.999999999999982,0
121.44000000000005,24.999999999999982,0
121.47000000000006,24.999999999999982,0
121.50000000000006,24.999999999999982,0
121.53000000000006,24.999999999999982,0
121.56000000000006,24.999999999999982,0
121.59000000000006,24.999999999999982,0
121.62000000000006,24.999999999999982,0
121.65000000000006,24.999999999999982,0
121.68000000000006,24.999999999999982,0
121.71000000000006,24.999999999999982,0
121.74000000000007,24.999999999999982,0
121.77000000000007,24.999999999999982,0
121.80000000000007,24.999999999999982,0
121.83000000000007,24.999999999999982,0
121.86000000000007,24.999999999999982,0
121.89000000000007,24.999999999999982,0
121.92000000000007,24.999999999999982,0
121.95000000000007,24.999999999999982,0
121.98000000000008,24.999999999999982,0
120.0,24.96999999999998,0
120.03,24.96999999999998,0
120.06,24.96999999999998,0
120.09,24.96999999999998,0
120.12,24.96999999999998,0
120.15,24.96999999999998,0
120.18,24.96999999999998,0
120.21000000000001,24.96999999999998,0
120.24000000000001,24.96999999999998,0
120.27000000000001,24.96999999999998,0
120.30000000000001,24.96999999999998,0
120.33000000000001,24.96999999999998,0
120.36000000000001,24.96999999999998,0
120.39000000000001,24.96999999999998,0
120.42000000000002,24.96999999999998,0
120.45000000000002,24.96999999999998,0
120.48000000000002,24.96999999999998,0
120.51000000000002,24.96999999999998,0
120.54000000000002,24.96999999999998,0
120.57000000000002,24.96999999999998,0
120.60000000000002,24.96999999999998,0
120.63000000000002,24.96999999999998,1
120.66000000000003,24.96999999999998,1
120.69000000000003,24.96999999999998,1
120.72000000000003,24.96999999999998,1
120.75000000000003,24.96999999999998,1
120.78000000000003,24.96999999999998,1
120.81000000000003,24.96999999999998,1
120.84000000000003,24.96999999999998,1
120.87000000000003,24.96999999999998,1
120.90000000000003,24.96999999999998,1
120.93000000000004,24.96999999999998,0
120.96000000000004,24.96999999999998,0
120.99000000000004,24.96999999999998,0
121.02000000000004,24.96999999999998,0
121.05000000000004,24.96999999999998,0
121.08000000000004,24.96999999999998,0
121.11000000000004,24.96999999999998,0
121.14000000000004,24.96999999999998,0
121.17000000000004,24.96999999999998,0
121.20000000000005,24.96999999999998,0
121.23000000000005,24.96999999999998,0
121.26000000000005,24.96999999999998,0
121.29000000000005,24.96999999999998,0
121.32000000000005,24.96999999999998,0
121.35000000000005,24.96999999999998,0
121.38000000000005,24.96999999999998,0
121.41000000000005,24.96999999999998,0
121.44000000000005,24.96999999999998,0
121.47000000000006,24.96999999999998,0
121.50000000000006,24.96999999999998,0
121.53000000000006,24.96999999999998,0
121.56000000000006,24.96999999999998,0
121.59000000000006,24.96999999999998,0
121.62000000000006,24.96999999999998,0
121.65000000000006,24.96999999999998,0
121.68000000000006,24.96999999999998,0
121.71000000000006,24.96999999999998,0
121.74000000000007,24.96999999999998,0
121.77000000000007,24.96999999999998,0
121.80000000000007,24.96999999999998,0
121.83000000000007,24.96999999999998,0
121.86000000000007,24.96999999999998,0
121.89000000000007,24.96999999999998,0
121.92000000000007,24.96999999999998,0
121.95000000000007,24.96999999999998,0
121.98000000000008,24.96999999999998,0
120.0,24.93999999999998,0
120.03,24.93999999999998,0
120.06,24.93999999999998,0
120.09,24.93999999999998,0
120.12,24.93999999999998,0
120.15,24.93999999999998,0
120.18,24.93999999999998,0
120.21000000000001,24.93999999999998,0
120.24000000000001,24.93999999999998,0
120.27000000000001,24.93999999999998,0
120.30000000000001,24.93999999999998,0
120.33000000000001,24.93999999999998,0
120.36000000000001,24.93999999999998,0
120.39000000000001,24.93999999999998,0
120.42000000000002,24.93999999999998,0
120.45000000000002,24.93999999999998,0
120.48000000000002,24.93999999999998,0
120.51000000000002,24.93999999999998,0
120.54000000000002,24.93999999999998,0
120.57000000000002,24.93999999999998,1
120.60000000000002,24.93999999999998,1
120.63000000000002,24.93999999999998,1
120.66000000000003,24.93999999999998,1
120.69000000000003,24.93999999999998,1
120.72000000000003,24.93999999999998,1
120.75000000000003,24.93999999999998,1
120.78000000000003,24.93999999999998,1
120.81000000000003,24.93999999999998,1
120.84000000000003,24.93999999999998,1
120.87000000000003,24.93999999999998,1
120.90000000000003,24.93999999999998,1
120.93000000000004,24.93999999999998,0
120.96000000000004,24.93999999999998,0
120.99000000000004,24.93999999999998,0
121.02000000000004,24.93999999999998,0
121.05000000000004,24.93999999999998,0
121.08000000000004,24.93999999999998,0
121.11000000000004,24.93999999999998,0
121.14000000000004,24.93999999999998,0
121.17000000000004,24.93999999999998,0
121.20000000000005,24.93999999999998,0
121.23000000000005,24.93999999999998,0
121.26000000000005,24.93999999999998,0
121.29000000000005,24.93999999999998,0
121.32000000000005,24.93999999999998,0
121.35000000000005,24.93999999999998,0
121.38000000000005,24.93999999999998,0
121.41000000000005,24.93999999999998,0
121.44000000000005,24.93999999999998,0
121.47000000000006,24.93999999999998,0
121.50000000000006,24.93999999999998,0
121.53000000000006,24.93999999999998,0
121.56000000000006,24.93999999999998,0
121.59000000000006,24.93999999999998,0
